name,lon,lat,injuries,fatalities,points,score
Christopher St and Bleecker St,-74.00427999999999,40.73339,14,0,1,1
W 11th St and Greenwich Ave,-74.00109999999999,40.736565,23,0,1,1
"40.747505,-74.00772",-74.00772000000001,40.747505,11,0,1,1
7th Ave and W 21st St,-73.99657999999999,40.74281,17,0,1,1
"40.735798,-74.00155",-74.00154999999999,40.735798,5,0,1,1
Hudson St and Charles St,-74.00618,40.73444,4,0,1,1
W 24th St and 9th Ave,-74.00085,40.747147,6,1,1,1
7th Ave S and Waverly Pl,-74.00169,40.735535,2,0,1,1
W 4th St and W 10th St,-74.00297,40.734253,5,0,1,1
Greenwich St and Perry St,-74.00698,40.735,2,0,1,1
Charles St and 7th Ave S,-74.00197,40.73507,6,0,1,1
Bank St and Washington St,-74.00832,40.736187,4,0,1,1
Bleecker St and Grove St,-74.003975,40.732914,6,0,1,1
8th Ave and W 23rd St,-73.99849,40.745293,37,0,1,1
W 26th St and 10th Ave,-74.002785,40.74959,19,1,1,1
W 10th St and 7th Ave S,-74.00239000000001,40.73434,8,0,1,1
11th Ave and W 23rd St,-74.00703,40.74889,18,0,1,1
Charles St and Waverly Pl,-74.00157,40.735126,1,0,1,1
"40.737568,-74.00992",-74.00991999999999,40.737568,5,0,1,1
Perry St and Greenwich Ave,-74.000725,40.735928,6,0,1,1
"40.748306,-74.00772",-74.00772000000001,40.748306,13,0,1,1
W 24th St and 11th Ave,-74.00653,40.749554,5,0,1,1
Hudson St and W 10th St,-74.006294,40.73374,16,0,1,1
"40.73363,-74.002785",-74.002785,40.73363,21,0,1,1
11th Ave and W 25th St,-74.00606999999999,40.75018,5,0,1,1
Christopher St and Bedford St,-74.00587,40.733147,6,0,1,1
7th Ave and W 22nd St,-73.99612999999999,40.74343,18,0,1,1
Grove St and 7th Ave S,-74.00303,40.733215,12,0,1,1
9th Ave and W 25th St,-74.0004,40.74777,15,1,1,1
"40.750786,-74.00563",-74.00563,40.750786,11,0,1,1
Washington St and W 11th St,-74.00837,40.735504,5,0,1,1
"40.73697,-74.00995",-74.00995,40.73697,6,0,1,1
W 27th St and 11th Ave,-74.00518,40.751408,5,0,1,1
Grove St and Bedford St,-74.00546,40.73245,1,0,1,1
Sheridan Sq and Grove St,-74.00257000000001,40.73337,3,0,1,1
11th Ave and W 28th St,-74.00472000000001,40.752026,12,0,1,1
Waverly Pl and W 10th St,-74.00139,40.73448,3,0,1,1
7th Ave S and Barrow St,-74.00346999999999,40.732372,26,0,1,1
7th Ave S and Bleecker St,-74.00355500000001,40.732224,3,0,1,1
Bedford St and Barrow St,-74.005104,40.731834,3,0,1,1
W 27th St and 10th Ave,-74.002335,40.75021,8,0,1,1
Commerce St and 7th Ave S,-74.00379,40.73189,7,0,1,1
Christopher St and Hudson St,-74.00641,40.733055,11,0,1,1
Charles St and Greenwich Ave,-74.00036,40.735306,2,0,1,1
8th Ave and W 24th St,-73.99800999999999,40.745953,19,1,1,1
Morton St and Bedford St,-74.00462,40.731003,6,0,1,1
